Question:問題文,Options[0]:正解選択肢,Options[1]:不正解選択肢1,Options[2]:不正解選択肢2,Options[3]:不正解選択肢3,Supplement:捕捉情報,Difficulty:難易度
"悟りの第二段階の状態は？","一来果","予流果","不還果","阿羅漢果","欲界の煩悩を断じ終えた位のこと",1
"四聖諦（ししょうたい）はどれか？","苦諦","楽諦","幸諦","怒諦","四聖諦（ししょうたい）は、仏教における4つの基本的な真理で、苦諦（くたい）、集諦（じったい）、滅諦（めったい）、道諦（どうたい）",1
"テーラワーダ仏教の「テーラワーダ」とは何を意味しますか？","長老の教え","仏陀の教え","慈悲の教え","瞑想の教え","テーラワーダ」はパーリ語で「長老の教え」を意味します。",1
"初期仏教の教えの目的は何ですか？","苦しみをなくす","儀式儀礼を行う","信じる者は救われる","現世利益を得る","初期仏教の教えは「苦しみをなくす」ことを目的としています。",1
"四聖諦の中で、仏教が特に重要視しているものは何ですか？","苦（Dukkha）","集（Samudaya）","滅（Nirodha）","道（Magga）","仏教では、苦というものの認識を非常に重要視しています。",1
"ヴィパッサナー瞑想法の目的は何ですか？","現実を正しく見る","心を空にする","超能力を得る","幸福を追求する","ヴィパッサナー瞑想法は、自分の現実を鏡に写したように見ることができる最良の方法です。",1
"心の働きの一部として説明されているものはどれですか？","全て","記憶","感情","計算力","心の働きには、記憶、感情、計算力などが含まれます。",1
"仏教における「無常」とは何を意味しますか？","常に変化する","永遠不滅","変化しない","固定されたもの","無常とは、すべてのものが常に変化し続けることを意味します。",1
"宗教が死後の世界について語る理由として説明されているものはどれですか？","人間は死後の世界を信じたくないから","宗教の教義を広めるため","死後の世界を体験した人がいるから","全て","宗教が死後の世界について語る理由として、人間は死後の世界を信じたくないからと説明されています。",1
"お釈迦さまが主に説いたことは何ですか？","生き方について","死後の世界について","輪廻転生のシステムについて","全て","お釈迦さまは主に、我々がどう生きるべきかということについて説いていました。",1
"四聖諦の中で、苦しみの原因を示すものはどれですか？","集","苦","滅","道","四聖諦の中で、苦しみの原因を示すのは集です。",1
"四聖諦の中で、苦しみの終わりを示すものはどれですか？","滅","苦","集","道","四聖諦の中で、苦しみの終わりを示すのは滅です。",1
"四苦八苦の一つである愛別離苦とは何を指しますか？","愛しい人との別れ","苦手な人との付き合い","欲しいものが手に入らない","生きること","四苦八苦の一つである愛別離苦は愛しい人との別れです。",2
"四苦八苦の一つである怨憎会苦とは何を指しますか？","苦手な人との付き合い","愛しい人との別れ","欲しいものが手に入らない","生きること","四苦八苦の一つである怨憎会苦は苦手な人との付き合いです。",2
"八正道の第一である正見とは何を意味しますか？","正しく四聖諦を見きわめること","正しい言葉づかい","正しい行い","正しい努力","正見は、正しく四聖諦を見きわめることを意味します。",1
"八正道の中で、正しい言葉づかいを示すものはどれですか？","正語","正見","正業","正命","正語は、正しい言葉づかいを示します。",1
"八正道の中で、正しい行いを示すものはどれですか？","正業","正見","正語","正命","正業は、正しい行いを示します。",1
"八正道の中で、正しい努力を示すものはどれですか？","正精進","正見","正語","正業","正精進は、正しい努力を示します。",1
"八正道の中で、正しい職業を示すものはどれですか？","正命","正見","正語","正業","正命は、正しい職業を示します。",1
"八正道の中で、正しい精神統一を示すものはどれですか？","正定","正見","正語","正業","正定は、正しい精神統一を示します。",1
