Question:問題文,Options[0]:正解選択肢,Options[1]:不正解選択肢1,Options[2]:不正解選択肢2,Options[3]:不正解選択肢3,Supplement:捕捉情報,Difficulty:難易度
"行列の積ABが定義されるための条件はどれか？","Aの列数とBの行数が等しい","AとBが正方行列である","AとBが同じ次元である","AとBが逆行列を持つ","行列の積は、Aの列数とBの行数が等しい場合に定義されます。",1
"テンソルの積において、要素ごとの積を指すものはどれか？","アダマール積","クロネッカー積","テンソル積","外積","アダマール積は同じ次元の行列やテンソルの要素ごとの積です。",1
"行列のランクを求める際に使用されるのはどれか？","階段行列","単位行列","零行列","対角行列","階段行列に変形することで行列のランクを調べます。",1
"固有値分解が可能な行列の条件はどれか？","正方行列","対称行列","直交行列","対角行列","固有値分解は正方行列に対して定義されます。",1
"特異値分解で得られる特異値は何を表すか？","行列の尺度","行列のランク","行列の逆行列","行列の固有値","特異値は行列の尺度やエネルギーを表します。",1
"確率変数XとYが独立である場合、次の関係はどれか？","P(X,Y)=P(X)P(Y)","P(X|Y)=P(X)","P(Y|X)=P(Y)","P(X,Y)=P(X)+P(Y)","独立な確率変数では、同時確率は各確率の積になります。",1
"条件付き確率の定義として正しいものはどれか？","P(A|B)=P(A∩B)/P(B)","P(A|B)=P(B)/P(A)","P(A|B)=P(A)+P(B)","P(A|B)=P(A∩B)×P(B)","条件付き確率はP(A|B)=P(A∩B)/P(B)で定義されます。",1
"ベルヌーイ分布の期待値はどれか？","成功確率p","失敗確率1-p","0","1","ベルヌーイ分布の期待値は成功確率pです。",1
"中心極限定理が示すのはどれか？","大数の法則","確率変数の和が正規分布に近づく","サンプリングエラーの減少","分散の不偏推定","独立同分布の確率変数の和は正規分布に近づくことを示します。",1
"最尤推定法で最大化するものはどれか？","尤度関数","費用関数","損失関数","エントロピー","最尤推定法では尤度関数を最大化します。",1
"ナイーブベイズ分類器が持つ仮定はどれか？","特徴量間の独立性","データの線形分離可能性","データの均一分布","特徴量間の相関性","ナイーブベイズは特徴量間が独立であると仮定します。",1
"自己情報量を表す式はどれか？","-log₂P(x)","P(x)log₂P(x)","-P(x)log₂P(x)","log₂(1-P(x))","自己情報量はI(x) = -log₂P(x)で計算されます。",1
"エントロピーが最大になるのはどのような分布か？","一様分布","正規分布","ベルヌーイ分布","ポアソン分布","エントロピーは一様分布のときに最大になります。",1
"K近傍法で分類を行う際に必要なものはどれか？","距離の計算","確率分布の仮定","勾配の計算","目的関数の最小化","K近傍法ではデータ間の距離を計算します。",1
"ユークリッド距離を計算する際に使用するのはどれか？","2乗和の平方根","絶対値の和","最大差の値","コサイン類似度","ユークリッド距離は2乗和の平方根で計算します。",1
"次のうち、ニューラルネットワークの活性化関数として最も一般的に使用されるものはどれか？","ReLU","シグモイド関数","ソフトマックス関数","tanh関数","ReLUは最も一般的に使用される活性化関数です。",2
"次のうち、正則化によって過学習を防ぐために使用される手法はどれか？","ドロップアウト","交差エントロピー","データの標準化","データの正規化","ドロップアウトは正則化の一種であり、過学習を防ぎます。",1
"次のうち、線形回帰モデルにおける誤差の評価指標として適切なものはどれか？","平均二乗誤差","クロスエントロピー","相互情報量","精度","平均二乗誤差は線形回帰モデルの誤差を評価する指標です。",1
"次のうち、決定木のノード分割に使用される基準はどれか？","Gini係数","相互情報量","クロスエントロピー","相関係数","Gini係数は決定木のノード分割に使用される基準です。",1
"ニューラルネットワークの活性化関数として最も一般的に使用されるものはどれか？","ReLU","シグモイド関数","ソフトマックス関数","tanh関数","ReLUは最も一般的に使用される活性化関数です。",2
"線形回帰モデルにおける誤差の評価指標として適切なものはどれか？","平均二乗誤差","クロスエントロピー","相互情報量","精度","平均二乗誤差は線形回帰モデルの誤差を評価する指標です。",1
"教師あり学習の例として正しいものはどれか？","回帰分析","クラスタリング","次元削減","主成分分析","回帰分析は教師あり学習の一種です。",1
"Lasso回帰で使用される正則化はどれか？","L1正則化","L2正則化","エラスティックネット","ドロップアウト","Lasso回帰ではL1正則化を用います。",1
"ロジスティック回帰で用いられる活性化関数はどれか？","シグモイド関数","ReLU関数","ソフトマックス関数","双曲線正接関数","ロジスティック回帰ではシグモイド関数を使用します。",1
"サポートベクターマシンでマージンを最大化する理由はどれか？","汎化性能を高めるため","計算コストを減らすため","過学習を防ぐため","クラス間の相互関係を強めるため","マージンを最大化することで汎化性能が向上します。",1
"ROC曲線のAUC値が表すのはどれか？","分類器の性能指標","データの分散","モデルの複雑さ","学習の速度","AUCはROC曲線下の面積で、分類性能を示します。",1
"多層パーセプトロンにおいて、各層の出力に適用される関数はどれか？","活性化関数","損失関数","コスト関数","確率密度関数","活性化関数は各層の出力に適用されます。",1
"深層学習で使用される損失関数で、2値分類に適したものはどれか？","バイナリクロスエントロピー","平均二乗誤差","ソフトマックスクロスエントロピー","ヒンジ損失","2値分類にはバイナリクロスエントロピーが適しています。",1
"ReLU関数の特性として正しいものはどれか？","負の値を0にする","出力が常に1になる","入力値をそのまま出力する","値を0と1の間に圧縮する","ReLU関数は負の値を0にします。",1
"勾配消失問題を軽減するために有効な活性化関数はどれか？","ReLU関数","シグモイド関数","tanh関数","ソフトマックス関数","ReLU関数は勾配消失問題を軽減します。",1
"次のうち、LSTMの一部として使われるゲートの一つはどれか？","忘却ゲート","入力ゲート","出力ゲート","重み更新ゲート","忘却ゲートはLSTMの一部として使用されます。",3
"次のうち、ガウス分布の特性として正しいものはどれか？","平均と分散で完全に記述される","中央値とモードで記述される","多峰性分布である","カテゴリカル分布である","ガウス分布は平均と分散で完全に記述されます。",1
"L1正則化の効果はどれか？","パラメータのスパース化","過学習の促進","計算速度の向上","データの正規化","L1正則化はパラメータをスパース化します。",1
"ドロップアウトの目的はどれか？","過学習の防止","計算コストの削減","データの前処理","モデルの評価","ドロップアウトは過学習を防ぐために用いられます。",1
"畳み込みニューラルネットワークで、画像の空間的な特徴を捉える層はどれか？","畳み込み層","全結合層","プーリング層","正規化層","畳み込み層は空間的な特徴を抽出します。",1
"次のうち、機械学習における過学習を防ぐための技術はどれか？","正則化","勾配消失","シグモイド関数","最急降下法","正則化は過学習を防ぐための技術です。",1
"次のうち、教師あり学習の手法はどれか？","ロジスティック回帰","主成分分析","t-SNE","k-meansクラスタリング","ロジスティック回帰は教師あり学習の手法です。",1
"プーリング層の主な役割はどれか？","特徴マップのダウンサンプリング","パラメータ数の増加","勾配の計算","データの正規化","プーリング層は特徴マップをダウンサンプリングします。",1
"RNNにおける勾配消失問題を解決するために開発されたものはどれか？","LSTM","CNN","GAN","autoencoder","LSTMは勾配消失問題を解決するためのRNNです。",1
"LSTMの構成要素でないものはどれか？","プーリングゲート","忘却ゲート","入力ゲート","出力ゲート","プーリングゲートはLSTMの構成要素ではありません。",1
