Question:問題文,Options[0]:正解選択肢,Options[1]:不正解選択肢1,Options[2]:不正解選択肢2,Options[3]:不正解選択肢3,Supplement:補足情報,Difficulty:難易度
"ResNetが導入した深層学習モデルの技術はどれか？","残差接続（skip-connection）","注意機構（Attention Mechanism）","バッチ正規化（Batch Normalization）","ドロップアウト（Dropout）","ResNetは残差接続を導入し、深いネットワークの学習を可能にしました。",1
"Vision Transformerで位置情報を保持するために使用されるのはどれか？","位置エンコーディング（Position Embedding）","セグメントエンコーディング（Segment Embedding）","CLSトークン","マスキング（Masking）","位置エンコーディングはトークンの位置情報を保持するために使用されます。",1
"Faster R-CNNにおいて、物体の候補領域を提案するネットワークはどれか？","Region Proposal Network (RPN)","Selective Search","ROIプーリング","アンカー（Anchor）","RPNは物体候補領域を高速に提案します。",1
"YOLOが分類される物体検出モデルのタイプはどれか？","1ステージ検出","2ステージ検出","アンカーベース検出","アンカーフリー検出","YOLOは1ステージで物体検出を行います。",1
"セマンティックセグメンテーションでピクセル単位の分類を行うために使用されるモデルはどれか？","Fully Convolutional Network (FCN)","サポートベクトルマシン","リカレントニューラルネットワーク","オートエンコーダ","FCNはセマンティックセグメンテーションで使用されます。",1
"Word2Vecの手法の一つで、コンテキストからターゲット単語を予測するモデルはどれか？","Continuous Bag of Words (CBOW)","Skip-Gram","ネガティブサンプリング","n-gram","CBOWはコンテキストからターゲット単語を予測します。",1
"BERTの事前学習タスクで、文章の連続性を予測するものはどれか？","Next Sentence Prediction (NSP)","Masked Language Modeling (MLM)","Language Modeling (LM)","Text Classification","NSPは次の文章が連続するかを予測します。",1
"GPTモデルが得意とする学習方法はどれか？","Few Shot Learning","教師なし学習","強化学習","半教師あり学習","GPTモデルはFew Shot Learningを得意とします。",1
"音声信号を周波数領域に変換するための手法はどれか？","短時間フーリエ変換","サンプリング","メル尺度","ケプストラム","短時間フーリエ変換は時間軸上の信号を周波数領域に変換します。",1
"WaveNetで用いられる畳み込みの手法はどれか？","ダイレイテッドカジュアル畳み込み","深層畳み込み","転置畳み込み","ポイントワイズ畳み込み","WaveNetはダイレイテッドカジュアル畳み込みを使用します。",1
"オートエンコーダの中でもデータのノイズ耐性を高めるために設計されたものはどれか？","デノイジングオートエンコーダ","変分オートエンコーダ（VAE）","スパースオートエンコーダ","スタックドオートエンコーダ","デノイジングオートエンコーダは入力データからノイズを除去します。",1
"GANのトレーニング中に発生する、生成データの多様性が失われる問題はどれか？","モード崩壊（mode collapse）","勾配消失","過学習","過剰適合","モード崩壊は生成データの多様性が失われる問題です。",1
"DQNにおける経験を再利用するための手法はどれか？","Experience Replay","ターゲットネットワーク","Qテーブル","価値関数近似","Experience Replayは過去の経験を再利用します。",1
"深層強化学習において、アクターとクリティックを用いる手法はどれか？","Actor-Critic法","Q学習","SARSA","モンテカルロ法","Actor-Critic法はアクターとクリティックで学習します。",1
"転移学習で、新しいタスクに適応するために行われる手法はどれか？","ファインチューニング","特徴抽出のみを利用する","モデルの再構築","データの再収集","ファインチューニングは既存モデルを微調整します。",1
"半教師あり学習で、ラベルなしデータを活用するための手法はどれか？","Self-Training","強化学習","クラスタリング","エントロピー最小化","Self-Trainingはラベルなしデータを活用します。",1
"Active Learningで、教師データとして選択すべきデータを決定する指標はどれか？","Uncertainty Sampling","ランダムサンプリング","確率サンプリング","バイアスサンプリング","Uncertainty Samplingは不確実性の高いデータを選びます。",1
"2つの入力サンプル間の類似度を学習するネットワークはどれか？","Siamese Network","オートエンコーダ","リカレントニューラルネットワーク","畳み込みニューラルネットワーク","Siamese Networkは2つの入力間の類似度を学習します。",1
"Triplet Lossにおいて、アンカー、ポジティブ、もう一つのサンプルは何と呼ばれるか？","ネガティブサンプル","サポートサンプル","ニュートラルサンプル","コントラストサンプル","Triplet Lossはアンカー、ポジティブ、ネガティブを使います。",1
"メタ学習で、様々なタスクに迅速に適応するために学習するものはどれか？","モデルの初期値","特定のタスクの重み","ハイパーパラメータ","データの前処理方法","メタ学習ではモデルの初期値を学習します。",1
"深層学習モデルの判断根拠を視覚的に示す手法はどれか？","Grad-CAM","LIME","シャープレー値","t-SNE","Grad-CAMは判断根拠をヒートマップで示します。",1
"モデルの予測結果に対する局所的な解釈を与える手法はどれか？","LIME","SHAP","CAM","PCA","LIMEは局所的なモデル解釈を提供します。",1
"モデルの軽量化手法で、学習済みモデルの知識を小さいモデルに移すものはどれか？","知識蒸留（Distillation）","プルーニング（枝刈り）","量子化（Quantization）","ハフ変換","知識蒸留は大きなモデルの知識を小さなモデルに移します。",1
"分散深層学習で、複数のデバイスで同じモデルを学習する手法はどれか？","データ並列化","モデル並列化","ハイブリッド並列化","パイプライン並列化","データ並列化は同じモデルを各デバイスで異なるデータを使って学習します。",1
